inci_name,cas_number,einecs_number,function
PEG-2 STEARMONIUM CHLORIDE,60687-87-8,,"Antistatic, Surfactant - Emulsifying"
PEG-2 SUNFLOWER GLYCERIDES,180254-52-8,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-2 TALLOW AMINE,61791-26-2,,Antistatic
PEG-2 TALLOWAMIDE DEA,,,"Emulsion Stabilising, Surfactant - Emulsifying"
PEG-20,25322-68-3,,"Humectant, Solvent"
PEG-20 ALMOND GLYCERIDES,226993-90-4,,Surfactant - Emulsifying
PEG-20 BEESWAX,,,Surfactant - Emulsifying
PEG-20 CASTOR OIL,61791-12-6,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 COCAMIDE,68425-44-5,,Surfactant - Emulsifying
PEG-20 COCAMIDE MEA,68425-44-5,,Surfactant - Emulsifying
PEG-20 COCAMINE,61791-14-8,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 CORN GLYCERIDES,,,Surfactant - Emulsifying
PEG-20 DILAURATE,9005-02-1,,Surfactant - Emulsifying
PEG-20 DIOLEATE,9005-07-6,,Surfactant - Emulsifying
PEG-20 DIRICINOLEATE,,,Skin Conditioning
PEG-20 DISTEARATE,9005-08-7,,Surfactant - Emulsifying
PEG-20 EVENING PRIMROSE GLYCERIDES,124046-44-2,,Surfactant - Emulsifying
PEG-20 GLYCERYL COCOATE,68201-46-7,614-376-4 (L),Surfactant - Cleansing
PEG-20 GLYCERYL DIISOSTEARATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 GLYCERYL ISOSTEARATE,,,Surfactant - Cleansing
PEG-20 GLYCERYL LAURATE,59070-56-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 GLYCERYL OLEATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 GLYCERYL RICINOLEATE,51142-51-9,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 GLYCERYL STEARATE,,,Surfactant - Emulsifying
PEG-20 GLYCERYL TRIISOSTEARATE,,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-20 GLYCERYL TRIOLEATE,68958-64-5,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-20 GLYCERYL TRISTEARATE,41080-66-4,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-20 HEXADECENYLSUCCINATE,178254-04-1,,Surfactant - Emulsifying
PEG-20 HYDROGENATED CASTOR OIL,61788-85-0,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 HYDROGENATED CASTOR OIL ISOSTEARATE,,,"Surfactant - Emulsifying, Viscosity Controlling"
PEG-20 HYDROGENATED CASTOR OIL LAURATE,,,Skin Conditioning
PEG-20 HYDROGENATED CASTOR OIL PCA ISOSTEARATE,,,Surfactant - Emulsifying
PEG-20 HYDROGENATED CASTOR OIL TRIISOSTEARATE,188734-82-9,,"Surfactant - Emulsifying, Viscosity Controlling"
PEG-20 HYDROGENATED DIMER DILINOLEATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 HYDROGENATED LANOLIN,68648-27-1,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-20 HYDROGENATED PALM GLYCERIDES,,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-20 HYDROGENATED TALLOW AMINE,61791-26-2,500-153-8,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 ISOSTEARATE,56002-14-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 LANOLATE,68459-50-7,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 LANOLIN,61790-81-6,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 LAURATE,9004-81-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 MANNITAN LAURATE,,,Surfactant - Emulsifying
PEG-20 METHYL GLUCOSE DISTEARATE,119831-19-5,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-20 METHYL GLUCOSE SESQUICAPRYLATE/SESQUICAPRATE,,,Surfactant - Emulsifying
PEG-20 METHYL GLUCOSE SESQUILAURATE,,,Surfactant - Emulsifying
PEG-20 METHYL GLUCOSE SESQUISTEARATE,68389-70-8,,Surfactant - Emulsifying
PEG-20 MYRISTATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 OLEAMINE,26635-93-8,,"Antistatic, Surfactant - Emulsifying"
PEG-20 OLEATE,9004-96-0,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 PALMITATE,9004-94-8,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 PHYTOSTEROL,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 SORBITAN COCOATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 SORBITAN ISOSTEARATE,66794-58-9,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 SORBITAN OLEATE,9005-65-6,,"Cleansing, Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 SORBITAN TRIISOSTEARATE,,,Surfactant - Emulsifying
PEG-20 SOY STEROL,,,Surfactant - Emulsifying
PEG-20 STEARATE,9004-99-3,,"Humectant, Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 TALLATE,61791-00-2,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 TALLOW AMINE,61791-26-2,,Antistatic
PEG-20 TALLOW AMMONIUM ETHOSULFATE,,,Antistatic
PEG-20 TALLOWATE,68153-64-0,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20 TSUBAKIATE GLYCERIDES,,,Surfactant - Emulsifying
PEG-20-PPG-10 GLYCERYL STEARATE,,,Surfactant - Emulsifying
PEG-200,25322-68-3,,"Humectant, Solvent"
PEG-200 CASTOR OIL,61791-12-6,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-200 GLYCERYL STEARATE,51158-08-8,,Surfactant - Cleansing
PEG-200 GLYCERYL TALLOWATE,68553-11-7,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-200 HYDROGENATED CASTOR OIL,61788-85-0,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-200 HYDROGENATED CASTOR OIL/IPDI COPOLYMER,207620-98-2,,Skin Conditioning
PEG-200 HYDROGENATED GLYCERYL PALMATE,,,"Cleansing, Solvent, Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-200 TRIHYDROXYSTEARIN,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-20M,25322-68-3,,"Binding, Emulsion Stabilising, Viscosity Controlling"
PEG-22 DIMETHACRYLATE,,,Nail Conditioning
PEG-22 TALLOW AMINE,61791-26-2,,Hair Conditioning
PEG-22/DODECYL GLYCOL COPOLYMER,78336-31-9,,"Light Stabilizer, Surfactant - Emulsifying"
PEG-220,25322-68-3,,"Binding, Humectant, Solvent"
PEG-222 PENTAERYTHRITYL ADIPATE-SUCCINIMIDE DENDRIMER,,,"Skin Conditioning, Skin Conditioning - Emollient"
PEG-23 GLYCERYL DISTEARATE,,,Skin Conditioning - Emollient
PEG-23 GLYCERYL LAURATE,59070-56-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-23 HEXADECYLEICOSANOATE,,,Surfactant - Emulsifying
PEG-23 OCTYLDODECANOATE,,,Surfactant - Emulsifying
PEG-23 OLEATE,9004-96-0,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-23 OLIVATE,226708-41-4,,"Skin Conditioning - Emollient, Surfactant - Cleansing, Surfactant - Emulsifying"
"PEG-23 POLY(1,2-BUTANEDIOL)-21 PROPYLENE GLYCOL DIMETHYL ETHER",,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-23 STEARATE,9004-99-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-23M,25322-68-3,,"Binding, Emulsion Stabilising, Viscosity Controlling"
PEG-24 HYDROGENATED LANOLIN,68648-27-1,,Surfactant - Emulsifying
PEG-24 LANOLIN,61790-81-6,,Surfactant - Emulsifying
PEG-24 TRISILOXANE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-240,25322-68-3,,"Humectant, Solvent"
PEG-240/HDI COPOLYMER BIS-DECYLTETRADECETH-20 ETHER,,,"Light Stabilizer, Viscosity Controlling"
PEG-25 AVOCADO OIL GLYCERYL ESTERS,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-25 BUTYLENE GLYCOL ISOSTEARATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-25 CASTOR OIL,61791-12-6,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-25 DIETHYLMONIUM CHLORIDE,,,"Antistatic, Surfactant - Cleansing"
PEG-25 GLYCERYL ISOSTEARATE,,,Surfactant - Emulsifying
PEG-25 GLYCERYL OLEATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-25 GLYCERYL STEARATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-25 GLYCERYL TRIOLEATE,68958-64-5,,Surfactant - Emulsifying
PEG-25 HYDROGENATED CASTOR OIL,61788-85-0,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-25 MORINGA GLYCERIDES,,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-25 OLEAMINE,26635-93-8,,"Antistatic, Cleansing"
PEG-25 PABA,116242-27-4,,"Light Stabilizer, Uv Absorber, Uv Filter"
PEG-25 PHYTOSTANOL,,,Surfactant - Emulsifying
PEG-25 PROPYLENE GLYCOL STEARATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-25 SOY STEROL,,,Surfactant - Emulsifying
PEG-25 STEARATE,9004-99-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-25 TALLOW AMINE,,,"Antistatic, Hair Conditioning"
PEG-250 DISTEARATE,9005-08-7,,"Cleansing, Surfactant - Cleansing"
PEG-25M,25322-68-3,,Humectant
PEG-26 CASTOR OIL,61791-12-6,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-26 JOJOBA ACID,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-26 JOJOBA ALCOHOL,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-26-PPG-30 PHOSPHATE,,,"Cleansing, Surfactant - Hydrotrope"
PEG-27 LANOLIN,61790-81-6,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-28 GLYCERYL TALLOWATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-29 CASTOR OIL,61791-12-6,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-2M,25322-68-3,,"Binding, Emulsion Stabilising, Viscosity Controlling"
"PEG-3 2,2'-DI-P-PHENYLENEDIAMINE",,,Hair Dyeing
PEG-3 BUTYLENE GLYCOL LAURATE,,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-3 CASTOR OIL,61791-12-6,500-151-7,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-3 COCAMIDE,61791-08-0,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-3 COCAMIDE DEA,,,Surfactant - Emulsifying
PEG-3 COCAMINE,61791-14-8,500-152-2,Surfactant - Emulsifying
PEG-3 DICAPRYLATE/CAPRATE,,,Surfactant - Emulsifying
PEG-3 DIETHYLENETRIAMINE DIPALMAMIDE,,,Hair Conditioning
PEG-3 DIISOSTEARATE,,,Surfactant - Emulsifying
PEG-3 DIMETHICONE,,,"Hair Conditioning, Skin Conditioning"
PEG-3 DIOLEATE,9005-07-6,,Surfactant - Emulsifying
PEG-3 DIOLEOYLAMIDOETHYLMONIUM METHOSULFATE,224948-78-1,,"Antistatic, Hair Conditioning"
PEG-3 DIPALMITATE,32628-06-1,,Surfactant - Emulsifying
PEG-3 DIROSINATE,242812-90-4,,"Skin Conditioning, Viscosity Controlling"
PEG-3 DISOYOYLAMIDOETHYLMONIUM METHOSULFATE,68605-27-6,,"Antistatic, Hair Conditioning"
PEG-3 DISTEARATE,9005-08-7,,Surfactant - Emulsifying
PEG-3 DISTEAROYLAMIDOETHYLMONIUM METHOSULFATE,,,"Antistatic, Hair Conditioning"
PEG-3 GLYCERYL COCOATE,,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-3 GLYCERYL ISOSTEARATE,,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-3 GLYCERYL TRIISOSTEARATE,,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-3 GLYCERYL TRIOLEATE,68958-64-5,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-3 GLYCERYL TRISTEARATE,41080-66-4,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-3 ISOSTEARATE,56002-14-3,,"Cleansing, Surfactant - Emulsifying"
PEG-3 LANOLATE,68459-50-7,,Surfactant - Emulsifying
PEG-3 LAURAMIDE,26635-75-6,,Surfactant - Emulsifying
PEG-3 LAURAMINE OXIDE,,,"Antistatic, Surfactant - Cleansing"
PEG-3 METHYL ETHER,9004-74-4,,"Humectant, Solvent"
PEG-3 OLEAMIDE,26027-37-2,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-3 OLEATE,9004-96-0,,Surfactant - Emulsifying
PEG-3 PPG-20 SUCCINATE,,,Skin Conditioning - Emollient
PEG-3 PPG-7 ETHYLHEXYL ETHER,64366-70-7,,"Cleansing, Surfactant - Cleansing"
PEG-3 RAPESEED AMINOPROPYLAMINE,,,"Antistatic, Surfactant - Cleansing"
PEG-3 SORBITAN OLEATE,9005-65-6,,Surfactant - Emulsifying
PEG-3 SORBITAN STEARATE,9005-67-8,,Surfactant - Emulsifying
PEG-3 SORBITAN TRISTEARATE,,,Surfactant - Emulsifying
PEG-3 STEARATE,9004-99-3,,Humectant
PEG-3 TALLOW AMINOPROPYLAMINE,90367-27-4,291-275-8,"Antistatic, Surfactant - Emulsifying"
PEG-3 TALLOW PROPYLENEDIMONIUM DIMETHOSULFATE,93572-63-5,297-495-0,Antistatic
PEG-3 TRIMETHYLOLPROPANE TRIACRYLATE,28961-43-5,,"Binding, Film Forming"
PEG-3 TRIMETHYLOLPROPANE TRIISOSTEARATE,,,Skin Conditioning
PEG-3 TRIMETHYLOLPROPANE TRISTEARATE,,,Skin Conditioning
"PEG-3,2',2'-DI-P-PHENYLENEDIAMINE",144644-13-3,,Hair Dyeing
PEG-3/PPG-2 GLYCERYL/SORBITOL HYDROXYSTEARATE/ISOSTEARATE,,,Surfactant - Emulsifying
PEG-30 CASTOR OIL,61791-12-6,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-30 DIPOLYHYDROXYSTEARATE,,,Surfactant - Emulsifying
PEG-30 GLYCERYL COCOATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-30 GLYCERYL DIISOSTEARATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-30 GLYCERYL ISOSTEARATE,,,Surfactant - Cleansing
PEG-30 GLYCERYL LAURATE,59070-56-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-30 GLYCERYL OLEATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-30 GLYCERYL SOYATE,,,"Cleansing, Skin Conditioning - Emollient, Surfactant - Cleansing"
PEG-30 GLYCERYL STEARATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-30 GLYCERYL TRIISOSTEARATE,,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-30 GLYCERYL TRIOLEATE,68958-64-5,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-30 HYDROGENATED CASTOR OIL,61788-85-0,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-30 HYDROGENATED CASTOR OIL ISOSTEARATE,,,"Surfactant - Emulsifying, Viscosity Controlling"
PEG-30 HYDROGENATED CASTOR OIL LAURATE,,,Skin Conditioning
PEG-30 HYDROGENATED CASTOR OIL PCA ISOSTEARATE,,,Surfactant - Emulsifying
PEG-30 HYDROGENATED CASTOR OIL TRIISOSTEARATE,,,"Surfactant - Emulsifying, Viscosity Controlling"
PEG-30 HYDROGENATED DIMER DILINOLEATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-30 HYDROGENATED LANOLIN,68648-27-1,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-30 HYDROGENATED TALLOW AMINE,61791-26-2,500-153-8,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-30 ISOSTEARATE,56002-14-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-30 LANOLIN,61790-81-6,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-30 OLEAMINE,26635-93-8,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-30 PHYTOSTEROL,,,Surfactant - Emulsifying
PEG-30 SORBITAN TETRAOLEATE,,,Surfactant - Emulsifying
PEG-30 SOY STEROL,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-30 STEARATE,9004-99-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-30 TALLOW AMINE,,,Hair Conditioning
PEG-32,25322-68-3,,"Humectant, Solvent"
PEG-32 DILAURATE,9005-02-1,,Surfactant - Emulsifying
PEG-32 DIOLEATE,9005-07-6,,Surfactant - Emulsifying
PEG-32 DISTEARATE,9005-08-7,,Surfactant - Emulsifying
PEG-32 LAURATE,9004-81-3,,Surfactant - Cleansing
PEG-32 METHYL ETHER DIMETHICONE,,,"Hair Conditioning, Skin Conditioning, Surfactant - Emulsifying"
PEG-32 OLEATE,9004-96-0,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-32 STEARATE,9004-99-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-33,25322-68-3,,"Humectant, Solvent"
PEG-33 CASTOR OIL,61791-12-6,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-35 ALMOND GLYCERIDES,226993-90-4,,Surfactant - Emulsifying
PEG-35 CASTOR OIL,61791-12-6,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-35 HYDROGENATED CASTOR OIL,61788-85-0,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-35 LANOLIN,61790-81-6,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-35 SOY GLYCERIDES,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-35 STEARATE,9004-99-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-350,25322-68-3,,"Binding, Solvent"
PEG-36 CASTOR OIL,61791-12-6,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-36 OLEATE,9004-96-0,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-36 STEARATE,9004-99-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-4,25322-68-3,,"Humectant, Solvent"
PEG-4 AMINOETHYLAMINO-PG-PROPYL DIMETHICONE,,,Hair Conditioning
PEG-4 CAPRYLIC/CAPRIC GLYCERIDES,,,Surfactant - Emulsifying
PEG-4 CASTOR OIL,61791-12-6,500-151-7,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-4 COCAMIDE,68425-44-5,500-211-2,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-4 COCAMINE,,,"Cleansing, Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-4 DIACRYLATE,17831-71-9,241-789-3,Plasticiser
PEG-4 DICOCOATE,69278-77-9,273-950-9,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-4 DIHEPTANOATE,,,Surfactant - Emulsifying
PEG-4 DIISOSTEARATE,,,Surfactant - Emulsifying
PEG-4 DILAURATE,9005-02-1,,Surfactant - Emulsifying
PEG-4 DIMETHACRYLATE,,,"Binding, Film Forming"
PEG-4 DIOLEATE,9005-07-6,,Surfactant - Emulsifying
PEG-4 DISTEARATE,9005-08-7,,Surfactant - Emulsifying
PEG-4 DISTEARYL ETHER,,,"Hair Conditioning, Opacifying, Plasticiser, Skin Conditioning"
PEG-4 DISTEARYLETHONIUM ETHOSULFATE,,,"Antistatic, Hair Conditioning"
PEG-4 DITALLOW ETHER,,,"Refatting, Skin Conditioning"
PEG-4 ETHYLHEXANOATE,,,Surfactant - Emulsifying
PEG-4 GLYCERYL DISTEARATE,,,"Skin Conditioning, Skin Conditioning - Emollient"
PEG-4 GLYCERYL TRISTEARATE,41080-66-4,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-4 ISOSTEARATE,56002-14-3,,Surfactant - Emulsifying
PEG-4 LANOLATE,68459-50-7,,Surfactant - Emulsifying
PEG-4 LAURATE,9004-81-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-4 METHYL ETHER,9004-74-4,,"Humectant, Solvent"
PEG-4 MONTANATE,68476-04-0,,"Binding, Surfactant - Emulsifying, Viscosity Controlling"
PEG-4 OLEAMIDE,26027-37-2,,Surfactant - Emulsifying
PEG-4 OLEATE,9004-96-0,,Surfactant - Emulsifying
PEG-4 OLIVATE,226708-41-4,,Surfactant - Emulsifying
PEG-4 PEG-12 DIMETHICONE,,,Emulsion Stabilising
PEG-4 POLYGLYCERYL-2 DISTEARATE,86360-24-9,,Surfactant - Emulsifying
PEG-4 POLYGLYCERYL-2 STEARATE,,,Surfactant - Emulsifying
PEG-4 PROLINE LINOLEATE,,,Skin Conditioning - Emollient
PEG-4 PROLINE LINOLENATE,,,Skin Conditioning - Emollient
PEG-4 RAPESEEDAMIDE,85536-23-8,,Viscosity Controlling
PEG-4 SORBITAN STEARATE,9005-67-8,,Surfactant - Emulsifying
PEG-4 SORBITAN TRIISOSTEARATE,,,Surfactant - Emulsifying
PEG-4 STEARAMIDE,,,Surfactant - Cleansing
PEG-4 STEARATE,9004-99-3,,Surfactant - Emulsifying
PEG-4 TALLATE,61791-00-2,,Surfactant - Emulsifying
PEG-4 TRIFLUOROPROPYL DIMETHICONE COPOLYMER,,,"Hair Conditioning, Skin Conditioning"
PEG-4 TRIMETHYLOLPROPANE DISTEARATE,,,Surfactant - Emulsifying
PEG-4 TRIMETHYLOLPROPANE TRIACRYLATE,28961-43-5,,Film Forming
PEG-4-PPG-7 C13/C15 ALCOHOL,,,Surfactant - Cleansing
PEG-4/PPG-1 PENTAERYTHRITYL TETRAACRYLATE,144086-02-2,604-394-0 (L),Nail Conditioning
PEG-40,25322-68-3,,"Humectant, Solvent"
PEG-40 CASTOR OIL,61791-12-6,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 DISTEARATE,,,Surfactant - Emulsifying
PEG-40 GLYCERYL COCOATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 GLYCERYL ISOSTEARATE,,,"Cleansing, Surfactant - Emulsifying"
PEG-40 GLYCERYL STEARATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 GLYCERYL TRIISOSTEARATE,,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-40 GLYCERYL TRIOLEATE,68958-64-5,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-40 HYDROGENATED CASTOR OIL,61788-85-0,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 HYDROGENATED CASTOR OIL ISOSTEARATE,,,"Surfactant - Emulsifying, Viscosity Controlling"
PEG-40 HYDROGENATED CASTOR OIL LAURATE,,,Skin Conditioning
PEG-40 HYDROGENATED CASTOR OIL PCA ISOSTEARATE,,,Skin Conditioning
PEG-40 HYDROGENATED CASTOR OIL TRIISOSTEARATE,,,"Surfactant - Emulsifying, Viscosity Controlling"
PEG-40 HYDROGENATED CASTOR OIL/IPDI COPOLYMER,,,"Film Forming, Skin Conditioning - Miscellaneous, Skin Protecting, Slip Modifier, Surface Modifier"
PEG-40 HYDROGENATED DIMER DILINOLEATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 HYDROGENATED LANOLIN,68648-27-1,,"Hair Conditioning, Surfactant - Emulsifying"
PEG-40 HYDROGENATED TALLOW AMINE,61791-26-2,500-153-8,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 ISOSTEARATE,56002-14-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 JOJOBA ACID,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 JOJOBA ALCOHOL,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 LANOLIN,61790-81-6,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 METHYL ETHER,,,Solvent
PEG-40 OLIVE GLYCERIDES,103819-46-1,,Surfactant - Emulsifying
PEG-40 RICINOLEAMIDE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 SORBITAN DIISOSTEARATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 SORBITAN LANOLATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 SORBITAN LAURATE,9005-64-5,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 SORBITAN OLEATE,9005-65-6,,"Cleansing, Surfactant - Emulsifying"
PEG-40 SORBITAN PERISOSTEARATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 SORBITAN PEROLEATE,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 SORBITAN STEARATE,9005-67-8,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 SORBITAN TETRAOLEATE,,,Surfactant - Emulsifying
PEG-40 SOY STEROL,,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40 STEARATE,9004-99-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-40/PPG-8 METHYLAMINOPROPYL/HYDROXYPROPYL DIMETHICONE COPOLYMER,177771-32-3,,Hair Conditioning
PEG-400,25322-68-3,,"Binding, Emulsion Stabilising, Solvent"
"PEG-400/1,4-BUTANEDIOL/SMDI COPOLYMER",155801-96-0,,Absorbent
PEG-42 BABASSU GLYCERIDES,,,Surfactant - Emulsifying
PEG-42 MUSHROOM GLYCERIDES,,,"Skin Conditioning - Emollient, Surfactant - Emulsifying"
PEG-44 CASTOR OIL,61791-12-6,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-44 SORBITAN LAURATE,9005-64-5,,Surfactant - Cleansing
PEG-444 PENTAERYTHRITYL TETRA(AMIDOGLUTAROYL SUCCINIMIDO ETHYL ETHER),,,"Skin Conditioning, Skin Conditioning - Emollient"
PEG-444 PENTAERYTHRITYL TETRA(GLUTAROYLSUCCINIMIDE),,,Skin Conditioning
PEG-45,25322-68-3,,"Binding, Humectant, Solvent"
PEG-45 BIS-(TOCOPHERYL SUCCINATE),,,"Anti-Sebum, Antioxidant"
PEG-45 HYDROGENATED CASTOR OIL,61788-85-0,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-45 PALM KERNEL GLYCERIDES,124046-52-2,,Surfactant - Emulsifying
PEG-45 SAFFLOWER GLYCERIDES,,,Surfactant - Emulsifying
PEG-45 STEARATE,9004-99-3,,"Surfactant - Cleansing, Surfactant - Emulsifying"
PEG-45 STEARATE PHOSPHATE,,,Surfactant - Cleansing
PEG-45/DODECYL GLYCOL COPOLYMER,78336-31-9,,Emulsion Stabilising
PEG-450,25322-68-3,,"Binding, Emulsion Stabilising, Solvent"
PEG-45M,25322-68-3,,Humectant
"PEG-47 POLY(1,2-BUTANEDIOL)-66 PROPYLENE GLYCOL",,,Viscosity Controlling
